STATE,UP,DOWN,RIGHT,LEFT,PICK_OBJECT,OPEN_DOOR
"(1, 9, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 1, 1, 1)",0.0020391749999999938,0.0016922026250000006,0.01737600749999999,0.26885,-0.008849250000000006,-0.9854712425000001
"(2, 1, 0, 0, 0)",-0.02291009579598139,-0.009403347950037404,0.03327710179351319,-0.0815459549867015,-0.07836359889070753,-1.4073355480000003
"(2, 1, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1, 1, 0, 0)",-0.01732852195300367,-0.02017653019136812,-0.0215812308915559,-0.08631004652718634,-0.08058646506785548,-1.711724751356788
"(2, 1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1, 1, 1, 0)",-0.029507110961767002,-0.023506095493666133,-0.023942335383243148,-0.08814939598095922,-0.09491515501254219,-2.246078535370005
"(2, 1, 1, 1, 1)",-0.03275286927471982,-0.03430204042743542,-0.024315403104766424,-0.06886432887986427,-0.09295903466346404,-1.8464113227811096
"(2, 2, 0, 0, 0)",-0.010037940690890416,-0.008128035170648983,0.18660101571852555,-0.015373763262112403,-0.033618147348442776,-2.0442052342363417
"(2, 2, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2, 1, 0, 0)",-0.014732550269341869,-0.016204421538869994,-0.009405378096302578,-0.02463083503609352,-0.061359821706085976,-1.712935377002765
"(2, 2, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2, 1, 1, 0)",-0.02393168701386001,-0.011163610251365932,-0.010618474043179223,-0.023440152853203382,-0.06965480439980165,-2.6037931622035337
"(2, 2, 1, 1, 1)",-0.026002451361517905,-0.01798631173572851,-0.020042503708461126,-0.031476686378593084,-0.07464219867020926,-2.0663564240584567
"(2, 3, 0, 0, 0)",0.01773699881274668,0.06650267107521676,0.7399446281699447,0.014086794426879146,0.1140459306747018,-2.3451271161909544
"(2, 3, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3, 1, 0, 0)",-0.016633555620745227,0.0038206453147324442,0.07774434686700768,-0.019718240397726693,-0.06790964459140315,-2.4397551698172966
"(2, 3, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3, 1, 1, 0)",-0.024742857012547054,0.10586424323630583,0.060285153619756705,-0.029819503578719646,-0.09352176472871994,-2.4473360009456986
"(2, 3, 1, 1, 1)",-0.021659959662172188,-0.0032491083691256386,-0.018248151969446885,-0.027711348427866295,-0.09239236793192421,-2.06590608174856
"(2, 4, 0, 0, 0)",0.06126589937893864,0.13153073141138263,0.27860247999210935,0.05837728522690367,2.0130592453770833,-0.20198850000000002
"(2, 4, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 4, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 4, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 4, 1, 0, 0)",0.026264186148554768,0.2859344858316117,0.01406970115459007,0.0019047631584083445,0.04104693870279299,-2.103264395032095
"(2, 4, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 4, 1, 1, 0)",0.005558466728305676,0.23174399043165017,-0.02008657731136242,-0.01018678418233505,-0.027474198015800734,-2.4143586144657294
"(2, 4, 1, 1, 1)",-0.024707191010068845,0.006266179063271352,-0.08382054710782107,-0.021344774825417065,-0.07580478188136826,-1.956822984524131
"(2, 6, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6, 1, 1, 1)",-0.0016215850000000003,0.04574382880490001,1.0199179100000002,0.17287031403000003,0.0033569999999999963,-0.7257400402655
"(2, 7, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 7, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 7, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 7, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 7, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 7, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 7, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 7, 1, 1, 1)",6.142650000000001,0.23086865745000007,0.11878792875000001,0.11035718550000001,1.1094657499999998,0.1192634999999998
"(2, 8, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 8, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 8, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 8, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 8, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 8, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 8, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 8, 1, 1, 1)",0.26803999999999994,0.01821353123690878,-0.001,0.8253267500000001,0.12068358198750001,-1.1404013262500001
"(2, 9, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9, 1, 1, 1)",0.032334075000000004,-0.0025064980524575255,-0.025000333750000006,0.07740604125,-0.010000000000000002,-1.5601478632500005
"(3, 1, 0, 0, 0)",-0.014345197444922363,-0.02388266990514682,0.00930379217555456,-0.07287671632086824,-0.0688354638623667,-1.8385178361604329
"(3, 1, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1, 1, 0, 0)",-0.024991663241040712,-0.008790795122186012,-0.012444427879030563,-0.07337589483854544,-0.08839278717031654,-2.316224969628778
"(3, 1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1, 1, 1, 0)",-0.03071756840636209,-0.02191622582908556,0.01412395098058375,-0.07752255511454557,-0.10035015764010113,-1.960584752950132
"(3, 1, 1, 1, 1)",-0.02600198674092458,-0.03647568868678555,-0.025020599308102125,-0.10822377267035911,-0.10584549243783897,-2.9003616823641
"(3, 2, 0, 0, 0)",0.02077949143517068,-0.017578624154467398,0.10489128981303589,-0.02058632563280284,-0.06085098529739908,-2.424162027389529
"(3, 2, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 2, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 2, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
