episode,reward,steps,epsilon
1,-392.1200000000008,803,1.0
2,-527.0500000000001,1000,0.995
3,-152.7299999999992,366,0.990025
4,-57.34000000000012,193,0.985074875
5,-143.26,429,0.9801495006250001
6,-532.68,1000,0.9752487531218751
7,-312.4900000000006,651,0.9703725093562657
8,-92.00999999999982,259,0.9655206468094844
9,-154.3899999999995,413,0.960693043575437
10,-203.6199999999996,452,0.9558895783575597
11,-180.62999999999977,435,0.9511101304657719
12,-203.53000000000003,448,0.946354579813443
13,-99.00999999999968,270,0.9416228069143757
14,-68.14000000000007,216,0.9369146928798039
15,-100.62999999999997,257,0.9322301194154049
16,-78.00999999999998,222,0.9275689688183278
17,-188.07999999999993,366,0.9229311239742362
18,-21.67000000000008,145,0.918316468354365
19,-22.850000000000016,98,0.9137248860125932
20,-91.99000000000005,276,0.9091562615825302
21,-96.21000000000005,195,0.9046104802746175
22,-232.09000000000046,440,0.9000874278732445
23,-94.75000000000023,190,0.8955869907338783
24,-48.60000000000011,171,0.8911090557802088
25,-49.6700000000002,206,0.8866535105013078
26,-31.570000000000043,99,0.8822202429488013
27,-65.17000000000017,176,0.8778091417340573
28,-65.24000000000008,147,0.8734200960253871
29,-33.01000000000004,129,0.8690529955452602
30,-18.000000000000043,116,0.8647077305675338
31,5.680000000000009,59,0.8603841919146962
32,-41.1400000000001,157,0.8560822709551227
33,1.4700000000000113,58,0.851801859600347
34,-41.150000000000055,142,0.8475428503023453
35,-53.20000000000012,158,0.8433051360508336
36,-41.650000000000034,116,0.8390886103705794
37,-44.93000000000004,127,0.8348931673187264
38,-18.89000000000005,120,0.8307187014821328
39,-23.70000000000003,127,0.8265651079747222
40,-36.74000000000006,157,0.8224322824348486
41,-18.77000000000003,157,0.8183201210226743
42,5.7200000000000095,62,0.8142285204175609
43,-9.470000000000006,81,0.810157377815473
44,-3.3899999999999864,94,0.8061065909263957
45,6.10000000000001,55,0.8020760579717637
46,-40.610000000000184,175,0.798065677681905
47,-1.600000000000005,84,0.7940753492934954
48,-11.090000000000003,78,0.7901049725470279
49,0.4200000000000088,76,0.7861544476842928
50,-26.470000000000084,147,0.7822236754458713
51,-20.690000000000033,63,0.778312557068642
52,-2.1699999999999946,85,0.7744209942832988
53,-0.1799999999999855,64,0.7705488893118823
54,11.190000000000003,56,0.7666961448653229
55,-6.770000000000021,69,0.7628626641409962
56,-50.910000000000096,152,0.7590483508202912
57,12.61000000000001,46,0.7552531090661897
58,13.130000000000003,33,0.7514768435208588
59,-12.220000000000027,92,0.7477194593032545
60,6.61000000000001,51,0.7439808620067382
61,2.520000000000012,65,0.7402609576967045
62,-8.68,81,0.736559652908221
63,2.690000000000012,55,0.7328768546436799
64,3.850000000000005,43,0.7292124703704616
65,-23.089999999999982,86,0.7255664080186093
66,20.590000000000003,42,0.7219385759785162
67,-4.0,59,0.7183288830986236
68,19.630000000000003,60,0.7147372386831305
69,15.270000000000007,45,0.7111635524897149
70,2.210000000000006,52,0.7076077347272662
71,6.540000000000008,57,0.7040696960536299
72,-2.3599999999999994,62,0.7005493475733617
73,14.440000000000005,50,0.697046600835495
74,11.840000000000003,64,0.6935613678313175
75,-16.120000000000037,79,0.6900935609921609
76,5.230000000000015,75,0.6866430931872001
77,-2.259999999999998,45,0.6832098777212641
78,17.68,44,0.6797938283326578
79,5.480000000000002,54,0.6763948591909945
80,9.750000000000004,46,0.6730128848950395
81,4.660000000000002,49,0.6696478204705644
82,3.440000000000012,57,0.6662995813682115
83,0.2500000000000089,56,0.6629680834613705
84,-18.93000000000007,103,0.6596532430440636
85,19.250000000000007,38,0.6563549768288433
86,21.75,30,0.653073201944699
87,13.09,28,0.6498078359349755
88,22.12,36,0.6465587967553006
89,19.43,26,0.6433260027715241
90,9.380000000000003,51,0.6401093727576664
91,-11.030000000000019,87,0.6369088258938781
92,22.61,20,0.6337242817644086
93,2.4000000000000092,75,0.6305556603555866
94,3.9400000000000084,44,0.6274028820538087
95,12.990000000000002,44,0.6242658676435396
96,13.030000000000001,40,0.6211445383053219
97,15.680000000000001,41,0.6180388156137953
98,16.690000000000005,21,0.6149486215357263
99,1.8500000000000085,49,0.6118738784280476
100,-6.5000000000000036,74,0.6088145090359074
101,6.4000000000000075,42,0.6057704364907278
102,-10.38000000000001,75,0.6027415843082742
103,4.790000000000003,48,0.5997278763867329
104,0.30000000000000604,56,0.5967292370047992
105,11.420000000000005,39,0.5937455908197752
106,8.750000000000004,48,0.5907768628656763
107,21.240000000000002,30,0.5878229785513479
108,15.93,35,0.5848838636585911
109,25.260000000000005,26,0.5819594443402982
110,1.2300000000000022,39,0.5790496471185967
111,19.150000000000002,32,0.5761543988830038
112,16.65,23,0.5732736268885887
113,3.8900000000000023,50,0.5704072587541458
114,15.360000000000001,51,0.567555222460375
115,25.470000000000002,22,0.5647174463480732
116,21.11,29,0.5618938591163328
117,19.310000000000002,27,0.5590843898207511
118,12.510000000000002,52,0.5562889678716474
119,10.150000000000002,34,0.5535075230322891
120,17.1,37,0.5507399854171277
121,22.69,19,0.547986285490042
122,0.24000000000000377,41,0.5452463540625918
123,19.080000000000002,44,0.5425201222922789
124,7.25,32,0.5398075216808175
125,22.270000000000003,30,0.5371084840724134
126,15.270000000000001,32,0.5344229416520513
127,19.160000000000004,35,0.531750826943791
128,19.57,26,0.5290920728090721
129,24.120000000000005,28,0.5264466124450268
130,19.570000000000004,32,0.5238143793828016
131,20.080000000000005,40,0.5211953074858876
132,18.770000000000003,41,0.5185893309484582
133,12.230000000000008,53,0.5159963842937159
134,19.080000000000002,31,0.5134164023722473
135,16.430000000000003,27,0.510849320360386
136,22.37,27,0.5082950737585841
137,13.02,41,0.5057535983897912
138,13.030000000000008,40,0.5032248303978422
139,5.950000000000001,45,0.500708706245853
140,19.009999999999998,38,0.4982051627146237
141,12.350000000000003,29,0.49571413690105054
142,25.370000000000005,28,0.4932355662165453
143,18.320000000000004,35,0.4907693883854626
144,16.150000000000002,42,0.4883155414435353
145,21.590000000000003,24,0.4858739637363176
146,18.080000000000002,55,0.483444593917636
147,19.550000000000004,25,0.4810273709480478
148,16.330000000000002,35,0.47862223409330756
149,16.45,30,0.47622912292284103
150,24.990000000000002,33,0.4738479773082268
151,16.180000000000003,39,0.47147873742168567
152,19.630000000000003,24,0.46912134373457726
153,19.060000000000002,33,0.46677573701590436
154,13.370000000000006,30,0.46444185833082485
155,25.47,25,0.46211964903917074
156,22.46,25,0.4598090507939749
157,19.300000000000004,24,0.457510005540005
158,15.860000000000001,39,0.45522245551230495
159,22.42,27,0.4529463432347434
160,15.160000000000004,36,0.4506816115185697
161,22.17,33,0.4484282034609769
162,7.020000000000003,39,0.446186062443672
163,20.55,29,0.4439551321314536
164,19.55,23,0.4417353564707963
165,19.310000000000002,32,0.43952667968844233
166,22.61,25,0.43732904629000013
167,5.880000000000003,40,0.4351424010585501
168,22.080000000000002,30,0.43296668905325736
169,24.68,21,0.43080185560799106
170,22.450000000000003,28,0.4286478463299511
