STATE,UP,DOWN,RIGHT,LEFT,PICK_OBJECT,OPEN_DOOR
"(1, 8, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8, 1, 1, 1)",3.363687536550457,2.178565201334675,2.559691976245383,14.030837716616002,6.119204332383993,2.2291866508435256
"(1, 9, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9, 1, 1, 1)",0.6252516034059972,0.5502085886697691,0.8378540454310407,8.087046574670023,1.2962397988095131,-0.46279141991159123
"(2, 1, 0, 0, 0)",1.9904998672758616,2.1697435664074702,13.586993384464208,3.7748093820782063,1.9287019936095997,0.4919605605859963
"(2, 1, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1, 1, 0, 0)",-0.04036349714909001,0.003116043520628711,0.4329381902911362,-0.10111684621998612,-0.10101486305839362,-2.7238183427532268
"(2, 1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1, 1, 1, 0)",-0.04687276098046653,0.09504698800611949,0.07912597299486437,-0.09589757361832071,-0.09412991598918041,-2.8613778615039047
"(2, 1, 1, 1, 1)",-0.028379900673261557,-0.025915538931797606,-0.02547919897896564,-0.07659950244173457,-0.06416493722679864,-2.1629638032465124
"(2, 2, 0, 0, 0)",4.16830089012888,6.857199299120948,16.23077434490687,4.560539418185897,3.8145312963023037,5.212314950945357
"(2, 2, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2, 1, 0, 0)",0.1451228223248485,2.088057995398324,0.5511814865297775,0.02015713920380738,0.0539571855344342,-2.739111701170198
"(2, 2, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 2, 1, 1, 0)",-0.003690685599002345,0.45313799452424963,0.35849567304588725,-0.01049988814954729,0.062430002972685805,-2.819841848341168
"(2, 2, 1, 1, 1)",-0.029162513011125258,-0.02003968291468537,0.008241857980843224,-0.030861254196878667,-0.09550236629314483,-2.322124225921349
"(2, 3, 0, 0, 0)",13.677933054779993,14.327124205848293,17.29521343441082,12.460932079789202,15.101371491844532,11.981454656451055
"(2, 3, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3, 1, 0, 0)",1.4065691459009908,3.7518913038720147,13.89400062820093,0.7683921584765535,2.1351931136292017,-0.4943749060122925
"(2, 3, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 3, 1, 1, 0)",0.05205263554607194,1.778961014094852,0.8884664451887685,0.14286698181754698,0.2410178710771083,-2.500572920141697
"(2, 3, 1, 1, 1)",-0.019554564652271813,0.16330277791897585,0.05454954805671147,-0.023260584803475745,-0.07625162017358632,-2.044850589634917
"(2, 4, 0, 0, 0)",13.674176503635644,14.352426715578243,16.504355890265213,15.442988239936351,18.226540466647027,12.938796125418516
"(2, 4, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 4, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 4, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 4, 1, 0, 0)",10.711727138441967,16.027937336198498,13.626017637157991,10.714038659008832,13.705648958215438,11.592778452625812
"(2, 4, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 4, 1, 1, 0)",0.22919006082565296,6.564037795369746,1.473460835219038,0.35217841919465964,1.5415041207367133,-1.6292459412421039
"(2, 4, 1, 1, 1)",-0.00014701594241966955,0.33609039178563777,-0.05551063203342546,0.0047329376701930525,-0.045303313387407215,-1.9847004075617298
"(2, 6, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6, 1, 1, 1)",14.23999999999999,11.559138048005693,13.852457295727845,13.180470375749879,13.17725087813901,9.045299504041939
"(2, 7, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 7, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 7, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 7, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 7, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 7, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 7, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 7, 1, 1, 1)",14.997610981336724,9.387880760090873,5.794751628209364,9.183593290042964,9.000544172683863,7.464834425428153
"(2, 8, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 8, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 8, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 8, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 8, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 8, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 8, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 8, 1, 1, 1)",10.512702157021526,1.7279018206195649,1.012412847101555,3.895727015315811,4.126064986914055,0.33653788003203616
"(2, 9, 0, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9, 1, 0, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9, 1, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9, 1, 1, 1)",3.3384611223729643,0.062227598140137494,-0.0004714718303102487,0.485369309814596,0.30287827263693284,-1.0729790706004119
"(3, 1, 0, 0, 0)",10.35469770394177,7.096576763769482,14.771433186642335,13.165193280168369,11.475120640298947,8.888035037719089
"(3, 1, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1, 1, 0, 0)",0.008724047675105689,0.25724131676568884,1.1178287812337655,0.04396688591334582,-0.0021215809163271163,-2.681033253547964
"(3, 1, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1, 1, 1, 0)",-0.011962227352000084,0.7774301280497575,0.3041562223297972,-0.00592096834079648,0.07749191229916554,-2.8720426521582234
"(3, 1, 1, 1, 1)",-0.03259139076308447,-0.024612525537770918,-0.022402744644789106,-0.07104533904046172,-0.08758406125783269,-2.454678158547034
"(3, 2, 0, 0, 0)",12.839545222630809,8.600948886155434,15.569929994404287,12.581659709443805,14.20717497722403,9.360735915615635
"(3, 2, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 2, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 2, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 2, 1, 0, 0)",0.4142694280940257,1.5226921928366042,6.146661004014335,0.3306720722510685,0.9953118279525011,-1.816513463827044
"(3, 2, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 2, 1, 1, 0)",0.05508680803506885,1.010562009839956,1.65539133094327,0.2030327962993605,0.284874468531216,-2.5385774474040947
"(3, 2, 1, 1, 1)",-0.023000148298999764,-0.014159339071515764,0.12311005441935938,-0.033833506303569114,-0.08109302133943623,-2.594197313618378
"(3, 3, 0, 0, 0)",16.410452733038593,9.827949570744632,11.328603674501725,12.67263860261961,12.30833867911315,8.035114876707123
"(3, 3, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 3, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 3, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 3, 1, 0, 0)",2.5684605836585277,5.214783607927714,15.131624629234974,1.9532495118321958,3.837862630522977,3.0329899073580915
"(3, 3, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 3, 1, 1, 0)",0.7446455458260899,6.643556591040626,3.1504243393437608,0.5110276637544735,1.5045468692018806,-0.5663399170564027
"(3, 3, 1, 1, 1)",0.0156533142949536,0.16815934885326206,0.787468594301488,-0.004838669097165148,0.08959822904019893,-2.4978788034935815
"(3, 4, 0, 0, 0)",16.8218145156467,7.217318301052287,8.59986786670279,5.445843123087321,5.836279058018474,3.219930307910209
"(3, 4, 0, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 4, 0, 1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 4, 0, 1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 4, 1, 0, 0)",13.120377910316599,16.8925656178393,15.243199504526725,12.448716254474895,15.375823053040095,11.793649470985226
"(3, 4, 1, 0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 4, 1, 1, 0)",2.919103723130858,15.538493391852397,7.306167928235005,3.3178814483056005,6.6824793061968375,2.405442438454923
"(3, 4, 1, 1, 1)",0.07799889100366933,3.3027882759544513,0.23106917210095845,0.2131132764676069,0.3344750693723785,-2.392509926231599
